time,Direction,Lead_hours,Source_time,Speed
2022-01-12 06:00:00+00:00,WSW,1,1641960000,16.09344
2022-01-12 09:00:00+00:00,WSW,1,1641970800,16.09344
2022-01-12 12:00:00+00:00,WSW,1,1641981600,16.98752
2022-01-12 15:00:00+00:00,WSW,1,1641992400,17.8816
2022-01-12 18:00:00+00:00,WSW,1,1642003200,16.98752
2022-01-12 21:00:00+00:00,WSW,1,1642014000,16.98752
2022-01-13 00:00:00+00:00,WSW,1,1642024800,19.22272
2022-01-13 03:00:00+00:00,WSW,1,1642035600,16.98752
2022-01-13 06:00:00+00:00,WSW,1,1642046400,17.8816
2022-01-13 09:00:00+00:00,WSW,1,1642057200,16.98752
2022-01-13 12:00:00+00:00,WSW,1,1642068000,15.19936
2022-01-13 15:00:00+00:00,WSW,1,1642078800,16.09344
2022-01-13 18:00:00+00:00,WSW,1,1642089600,16.98752
2022-01-13 21:00:00+00:00,WNW,1,1642100400,12.96416
2022-01-14 00:00:00+00:00,NW,1,1642111200,12.070079999999999
2022-01-14 03:00:00+00:00,NW,1,1642122000,9.83488
2022-01-14 06:00:00+00:00,NW,1,1642132800,7.15264
2022-01-14 09:00:00+00:00,NNW,1,1642143600,1.78816
2022-01-14 12:00:00+00:00,SW,1,1642154400,0.89408
2022-01-14 15:00:00+00:00,S,1,1642165200,4.02336
2022-01-14 18:00:00+00:00,SSE,1,1642176000,5.81152
2022-01-14 21:00:00+00:00,S,1,1642186800,8.04672
2022-01-15 00:00:00+00:00,SSW,1,1642197600,4.91744
2022-01-15 03:00:00+00:00,SW,1,1642208400,4.91744
2022-01-15 06:00:00+00:00,WSW,1,1642219200,8.04672
2022-01-15 09:00:00+00:00,WSW,1,1642230000,8.9408
2022-01-15 12:00:00+00:00,SW,1,1642240800,8.9408
2022-01-15 15:00:00+00:00,SW,1,1642251600,9.83488
2022-01-15 18:00:00+00:00,SW,1,1642262400,9.83488
2022-01-15 21:00:00+00:00,SSW,1,1642273200,9.83488
2022-01-16 00:00:00+00:00,SW,1,1642284000,12.96416
2022-01-16 03:00:00+00:00,NW,1,1642294800,13.85824
2022-01-16 06:00:00+00:00,NW,1,1642305600,12.96416
2022-01-16 09:00:00+00:00,NW,1,1642316400,12.96416
2022-01-16 12:00:00+00:00,W,1,1642327200,16.98752
2022-01-16 15:00:00+00:00,W,1,1642338000,17.8816
2022-01-16 18:00:00+00:00,WNW,1,1642348800,16.98752
2022-01-16 21:00:00+00:00,WNW,1,1642359600,16.98752
2022-01-17 00:00:00+00:00,WNW,1,1642370400,16.09344
2022-01-17 03:00:00+00:00,WNW,1,1642381200,12.96416
2022-01-17 06:00:00+00:00,WNW,1,1642392000,12.96416
2022-01-17 09:00:00+00:00,W,1,1642402800,12.96416
2022-01-17 12:00:00+00:00,WNW,1,1642413600,13.85824
2022-01-17 15:00:00+00:00,W,1,1642424400,12.96416
2022-01-17 18:00:00+00:00,W,1,1642435200,12.070079999999999
2022-01-17 21:00:00+00:00,WSW,1,1642446000,12.070079999999999
2022-01-18 00:00:00+00:00,WSW,1,1642456800,9.83488
2022-01-18 03:00:00+00:00,S,1,1642467600,8.04672
2022-01-18 06:00:00+00:00,SW,1,1642478400,8.04672
2022-01-18 09:00:00+00:00,SSW,1,1642489200,7.15264
2022-01-18 12:00:00+00:00,SSW,1,1642500000,8.04672
2022-01-18 15:00:00+00:00,SSW,1,1642510800,9.83488
2022-01-18 18:00:00+00:00,SW,1,1642521600,12.070079999999999
2022-01-18 21:00:00+00:00,SW,1,1642532400,12.070079999999999
2022-01-19 00:00:00+00:00,SW,1,1642543200,12.070079999999999
2022-01-19 03:00:00+00:00,W,1,1642554000,12.96416
2022-01-19 06:00:00+00:00,NW,1,1642564800,16.09344
2022-01-19 09:00:00+00:00,NNW,1,1642575600,12.070079999999999
2022-01-19 12:00:00+00:00,NW,1,1642586400,8.9408
2022-01-19 15:00:00+00:00,N,1,1642597200,16.98752
2022-01-19 18:00:00+00:00,NNW,1,1642608000,15.19936
2022-01-19 21:00:00+00:00,NNW,1,1642618800,16.09344
2022-01-20 00:00:00+00:00,NNW,1,1642629600,13.85824
2022-01-20 03:00:00+00:00,NNW,1,1642640400,13.85824
2022-01-20 06:00:00+00:00,NNW,1,1642651200,12.070079999999999
2022-01-20 09:00:00+00:00,NNW,1,1642662000,11.176
2022-01-20 12:00:00+00:00,NW,1,1642672800,8.9408
2022-01-20 15:00:00+00:00,NW,1,1642683600,8.9408
2022-01-20 18:00:00+00:00,WNW,1,1642694400,8.9408
2022-01-20 21:00:00+00:00,W,1,1642705200,8.9408
2022-01-21 00:00:00+00:00,WNW,1,1642716000,9.83488
2022-01-21 03:00:00+00:00,W,1,1642726800,9.83488
2022-01-21 06:00:00+00:00,W,1,1642737600,12.96416
2022-01-21 09:00:00+00:00,W,1,1642748400,13.85824
2022-01-21 12:00:00+00:00,W,1,1642759200,15.19936
2022-01-21 15:00:00+00:00,W,1,1642770000,12.96416
2022-01-21 18:00:00+00:00,W,1,1642780800,12.96416
2022-01-21 21:00:00+00:00,WSW,1,1642791600,12.96416
2022-01-22 00:00:00+00:00,WSW,1,1642802400,12.070079999999999
2022-01-22 03:00:00+00:00,WSW,1,1642813200,12.070079999999999
2022-01-22 06:00:00+00:00,WSW,1,1642824000,12.96416
2022-01-22 09:00:00+00:00,WSW,1,1642834800,13.85824
2022-01-22 12:00:00+00:00,WSW,1,1642845600,12.070079999999999
2022-01-22 15:00:00+00:00,WSW,1,1642856400,13.85824
2022-01-22 18:00:00+00:00,WSW,1,1642867200,12.070079999999999
2022-01-22 21:00:00+00:00,SW,1,1642878000,12.96416
2022-01-23 00:00:00+00:00,SW,1,1642888800,11.176
2022-01-23 03:00:00+00:00,SW,1,1642899600,11.176
2022-01-23 06:00:00+00:00,SW,1,1642910400,11.176
2022-01-23 09:00:00+00:00,SW,1,1642921200,12.070079999999999
2022-01-23 12:00:00+00:00,SSW,1,1642932000,11.176
2022-01-23 15:00:00+00:00,SW,1,1642942800,12.070079999999999
2022-01-23 18:00:00+00:00,SW,1,1642953600,12.96416
2022-01-23 21:00:00+00:00,SW,1,1642964400,13.85824
2022-01-24 00:00:00+00:00,SW,1,1642975200,13.85824
2022-01-24 03:00:00+00:00,SW,1,1642986000,12.96416
2022-01-24 06:00:00+00:00,NW,1,1642996800,9.83488
2022-01-24 09:00:00+00:00,W,1,1643007600,5.81152
2022-01-24 12:00:00+00:00,WNW,1,1643018400,8.04672
2022-01-24 15:00:00+00:00,W,1,1643029200,7.15264
2022-01-24 18:00:00+00:00,W,1,1643040000,4.02336
2022-01-24 21:00:00+00:00,SW,1,1643050800,4.02336
2022-01-25 00:00:00+00:00,SSW,1,1643061600,4.91744
2022-01-25 03:00:00+00:00,S,1,1643072400,4.91744
2022-01-25 06:00:00+00:00,SW,1,1643083200,8.9408
2022-01-25 09:00:00+00:00,SW,1,1643094000,11.176
2022-01-25 12:00:00+00:00,SW,1,1643104800,12.070079999999999
2022-01-25 15:00:00+00:00,W,1,1643115600,12.96416
2022-01-25 18:00:00+00:00,WSW,1,1643126400,12.96416
2022-01-25 21:00:00+00:00,WSW,1,1643137200,12.96416
2022-01-26 00:00:00+00:00,W,1,1643148000,16.09344
2022-01-26 03:00:00+00:00,W,1,1643158800,15.19936
2022-01-26 06:00:00+00:00,WNW,1,1643169600,12.96416
2022-01-26 09:00:00+00:00,W,1,1643180400,12.070079999999999
2022-01-26 12:00:00+00:00,SW,1,1643191200,12.070079999999999
2022-01-26 15:00:00+00:00,SW,1,1643202000,16.09344
2022-01-26 18:00:00+00:00,WSW,1,1643212800,16.09344
2022-01-26 21:00:00+00:00,WSW,1,1643223600,21.01088
2022-01-27 00:00:00+00:00,W,1,1643234400,19.22272
2022-01-27 03:00:00+00:00,NW,1,1643245200,16.98752
2022-01-27 06:00:00+00:00,NW,1,1643256000,15.19936
